method,observed_intensity_class,n,class_accuracy,mean_error,class_mae
gmpe_calibrated,1,70171,0.3475224807969104,0.6553419503783614,0.6827606846133017
gmpe_calibrated,2,173372,0.7416768567011974,0.09011835821239877,0.261310938329142
gmpe_calibrated,3,133589,0.6523591014230213,-0.2114769928661791,0.3563541908390661
gmpe_calibrated,4,75303,0.4966999986720317,-0.4169023810472358,0.5288501122133248
gmpe_calibrated,5+,11576,0.11014167242570837,-1.3500345542501728,1.3716309606081547
gmpe_calibrated,5-,17657,0.17630401540465537,-0.8016650620150648,0.9087047629835193
gmpe_calibrated,6+,1804,0.0016629711751662971,-2.54490022172949,2.54490022172949
gmpe_calibrated,6-,6204,0.04529335912314636,-1.8359123146357188,1.8359123146357188
gmpe_calibrated,7,94,0.0,-3.3617021276595747,3.3617021276595747
gmpe_kriging,1,70171,0.6103376038534437,0.38977640335751235,0.39613230536831456
gmpe_kriging,2,173372,0.7534434626121865,-0.01084950280322082,0.24775050181113445
gmpe_kriging,3,133589,0.6813884376707663,-0.1360441353704272,0.3224816414525148
gmpe_kriging,4,75303,0.6492304423462545,-0.23807816421656508,0.3629603070262805
gmpe_kriging,5+,11576,0.4397892190739461,-0.36938493434692465,0.6579129232895646
gmpe_kriging,5-,17657,0.452002038851447,-0.27847312680523306,0.5775046723678994
gmpe_kriging,6+,1804,0.1524390243902439,-1.3181818181818181,1.3237250554323725
gmpe_kriging,6-,6204,0.42246937459703415,-0.6047711154094133,0.7156673114119922
gmpe_kriging,7,94,0.0,-1.7765957446808511,1.7765957446808511
gmpe_raw,1,70171,0.10659674224394693,1.1009106325975118,1.145373444870388
gmpe_raw,2,173372,0.38079389982234735,0.6100754447084881,0.6737420113974575
gmpe_raw,3,133589,0.6013968215945924,0.3073381790416876,0.43303715126245423
gmpe_raw,4,75303,0.5562195397261729,0.1778282405747447,0.5815571756769319
gmpe_raw,5+,11576,0.22667588113337941,-0.1723393227366966,1.0933828610919143
gmpe_raw,5-,17657,0.2170244095826018,0.3167015914368239,1.0003964433369201
gmpe_raw,6+,1804,0.25,-1.028270509977827,1.289911308203991
gmpe_raw,6-,6204,0.3425209542230819,-0.5444874274661509,1.0912314635718892
gmpe_raw,7,94,0.0,-1.8617021276595744,1.8617021276595744
idw,1,70171,0.5900158185005202,0.41123826081999687,0.41545652762537233
idw,2,173372,0.7684747248690676,-0.0014246821862815217,0.2325231294557368
idw,3,133589,0.6889863686381363,-0.1395549034725913,0.3138656625919799
idw,4,75303,0.6516871837775388,-0.24251357847628913,0.35892328326892686
idw,5+,11576,0.44151693158258465,-0.37543192812715964,0.6605044920525225
idw,5-,17657,0.4548337769723056,-0.28611881973155123,0.5730305261369428
idw,6+,1804,0.18070953436807094,-1.2516629711751663,1.287139689578714
idw,6-,6204,0.4147324306898775,-0.5801096067053514,0.7254996776273372
idw,7,94,0.05319148936170213,-1.5425531914893618,1.5425531914893618
kriging,1,70171,0.6103518547548132,0.3918855367602001,0.3960753017628365
kriging,2,173372,0.7539222019703297,-0.011864660960247329,0.24725445862076922
kriging,3,133589,0.6805126170567936,-0.1374364655772556,0.3234098615904004
kriging,4,75303,0.6494694766476767,-0.23712202701087606,0.3628009508253323
kriging,5+,11576,0.43762957843814787,-0.3590186592950933,0.6656876295784382
kriging,5-,17657,0.45154896075210965,-0.27762360536897546,0.5789205414283287
kriging,6+,1804,0.1868070953436807,-1.2161862527716185,1.2572062084257207
kriging,6-,6204,0.4274661508704062,-0.5543197936814958,0.7080915538362347
kriging,7,94,0.09574468085106383,-1.372340425531915,1.372340425531915
