method,density_bin,n_trials,median_density,median_n_train,median_rmse,median_mae,median_within_0p50,median_class_accuracy,median_class_within_1,median_class_over_rate,median_class_under_rate,median_class_mae,median_train_nn_km,median_rmse_gmpe_raw,median_mae_gmpe_raw,median_class_accuracy_gmpe_raw,median_class_within_1_gmpe_raw,median_class_mae_gmpe_raw,median_class_over_rate_gmpe_raw,median_class_under_rate_gmpe_raw,class_accuracy_gain_points,rmse_reduction_fraction,class_mae_reduction_fraction,over_rate_reduction_points
gmpe_calibrated,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5834962139883724,0.465617471634727,0.5846153846153846,0.5555555555555556,0.9404761904761904,0.2142857142857142,0.2226720647773279,0.5135135135135135,37.61507329720594,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.10031294718113998,0.19888611069865503,0.1459814842645225,0.2631336405529955
gmpe_calibrated,"[10.0, 20.0)",160,13.90778728841283,311.0,0.5140072640826738,0.4078682243954725,0.6857301823457806,0.589465028484375,0.9765331012912928,0.1701274814763036,0.2415365147184772,0.4382322798349489,8.588924919325557,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.13422242010995938,0.2942912934365328,0.2711808524544922,0.30729187336240604
gmpe_calibrated,"[20.0, 30.0)",85,23.315309001848767,539.0,0.5055641074288735,0.4022201653936085,0.6844583987441131,0.5912408759124088,0.9740634005763688,0.1755986316989737,0.240545567265964,0.4330900243309002,6.885194359260537,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.1359982675379932,0.3058833653347771,0.2797328794168453,0.30182072313973596
gmpe_calibrated,"[30.0, 50.0)",170,39.68025828719168,884.5,0.5097226810654159,0.4044112015539814,0.6864423178411849,0.5869992687088648,0.976408871665911,0.1770849464543104,0.2360674413305992,0.440875463614907,5.528499999999686,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.13175666033444916,0.30017383197354963,0.2667850034083181,0.3003344083843993
gmpe_calibrated,"[5.0, 10.0)",110,6.643208051197418,145.5,0.5170023004093507,0.407541982565428,0.678842022897445,0.5854912908790739,0.976497313663961,0.1797957992319603,0.2374179748922371,0.4439765042808091,12.987497637987932,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.13024868250465832,0.29017924413314056,0.2616276977541615,0.29762355560674936
gmpe_calibrated,"[50.0, 75.0)",90,57.67957091090264,1313.5,0.505820035111596,0.3982411500252437,0.6844476055002371,0.5911534701857283,0.9765796401930672,0.1728354978354978,0.2336153710558787,0.4395551257253385,4.3487995530631345,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.13591086181131268,0.3055319882112062,0.26898084241750697,0.3045838570032119
gmpe_kriging,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5912423223220361,0.460677335305466,0.6216216216216216,0.6081081081081081,0.9324324324324323,0.1727395411605937,0.2186234817813765,0.4642857142857143,37.61507329720594,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.1528654997336925,0.1882510545914109,0.22785168032187086,0.304679813678116
gmpe_kriging,"[10.0, 20.0)",160,13.90778728841283,311.0,0.3962874896014953,0.301229413128844,0.811421537889872,0.6680377849611265,0.990487514863258,0.1394525206807052,0.1957459014968446,0.3424419720954047,8.588924919325557,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.21279517658671093,0.45591521510292676,0.4304886297276551,0.33796683415800444
gmpe_kriging,"[20.0, 30.0)",85,23.315309001848767,539.0,0.3836247057497767,0.2928659158235639,0.8255275347400927,0.6806989674344718,0.992018244013683,0.1334604385128694,0.1805337519623233,0.3304209690230341,6.885194359260537,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.22545635906005618,0.4733006441385207,0.45048062396218935,0.3439589163258403
gmpe_kriging,"[30.0, 50.0)",170,39.68025828719168,884.5,0.3691994847381815,0.2785725961529936,0.8431122303633898,0.6916138380098784,0.9932449184896964,0.1292154262984954,0.1777777777777777,0.3191007923985227,5.528499999999686,0.7283561323562148,0.6095377585600373,0.4552426083744156,0.9424778761061948,0.6012908432919368,0.4774193548387097,0.0615020912893253,0.2363712296354628,0.4931058196162502,0.469307081658661,0.3482039285402143
