station_region,method,density_bin_simple,n_trial_regions,n_predictions,median_class_accuracy,median_rmse,median_mae,median_class_mae
Chubu-Hokuriku,gmpe_calibrated,0-5,40,595,0.5773809523809523,0.5153827872074652,0.4428445123312183,0.4226190476190476
Chubu-Hokuriku,gmpe_calibrated,10-20,134,47253,0.5762747899445522,0.5460526336837497,0.4343832326235128,0.45437224669603526
Chubu-Hokuriku,gmpe_calibrated,20-30,69,19844,0.5797101449275363,0.537961115162601,0.43122775283585524,0.4490861618798956
Chubu-Hokuriku,gmpe_calibrated,30-50,148,26724,0.5832159624413146,0.536562984727745,0.42038179604605797,0.4453868026277086
Chubu-Hokuriku,gmpe_calibrated,5-10,89,37483,0.5674603174603174,0.5557198339005641,0.4326056570368363,0.4637223974763407
Chubu-Hokuriku,gmpe_calibrated,50-75,80,5860,0.5759477459016393,0.5352100616200033,0.42335545652801454,0.4735248447204969
Chubu-Hokuriku,gmpe_kriging,0-5,40,595,0.7142857142857143,0.44669158596566805,0.3649233963843067,0.2857142857142857
Chubu-Hokuriku,gmpe_kriging,10-20,134,47253,0.6737245017037763,0.40970698341936496,0.31289291629641314,0.3342151675485009
Chubu-Hokuriku,gmpe_kriging,20-30,69,19844,0.6893203883495146,0.3943715603145314,0.29518922729174124,0.3187855787476281
Chubu-Hokuriku,gmpe_kriging,30-50,148,26724,0.6962137311512052,0.3799545983334651,0.2894045401332265,0.31048576529174104
Chubu-Hokuriku,gmpe_kriging,5-10,89,37483,0.6614173228346457,0.42902177013601245,0.3325504217872349,0.347068145800317
Chubu-Hokuriku,gmpe_kriging,50-75,80,5860,0.7071078431372549,0.36442397071193067,0.2796739428779013,0.29754098360655734
Chubu-Hokuriku,gmpe_raw,0,560,137759,0.43150396887977716,0.7253601871903614,0.6182506404448849,0.6017306078111885
Chubu-Hokuriku,idw,0-5,40,595,0.7119815668202765,0.46952611153214174,0.3912067761763169,0.28801843317972353
Chubu-Hokuriku,idw,10-20,134,47253,0.6872737399053188,0.39667797108330355,0.3064306559924337,0.32158050879282407
Chubu-Hokuriku,idw,20-30,69,19844,0.6920077972709552,0.38146817150960055,0.2915204318286444,0.3185483870967742
Chubu-Hokuriku,idw,30-50,148,26724,0.6996042216358839,0.3663922284575486,0.28212898966366506,0.30769363762102353
Chubu-Hokuriku,idw,5-10,89,37483,0.6637744034707158,0.4199563050087636,0.32953141898819854,0.3413566739606127
