method,density_bin,n_trials,median_density,median_n_train,median_rmse,median_mae,median_within_0p50,median_class_accuracy,median_class_within_1,median_class_over_rate,median_class_under_rate,median_class_mae,median_train_nn_km
gmpe_calibrated,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5834962139883724,0.465617471634727,0.5846153846153846,0.5555555555555556,0.9404761904761905,0.21428571428571427,0.22267206477732793,0.5135135135135135,37.61507329720594
gmpe_calibrated,"[10.0, 20.0)",160,13.90778728841283,311.0,0.5140072640826738,0.40786822439547255,0.6857301823457806,0.589465028484375,0.9765331012912928,0.17012748147630363,0.24153651471847726,0.43823227983494895,8.588924919325557
gmpe_calibrated,"[20.0, 30.0)",85,23.315309001848767,539.0,0.5055641074288735,0.4022201653936085,0.6844583987441131,0.5912408759124088,0.9740634005763689,0.17559863169897377,0.24054556726596404,0.43309002433090027,6.885194359260537
gmpe_calibrated,"[30.0, 50.0)",170,39.68025828719168,884.5,0.5097226810654159,0.4044112015539814,0.6864423178411849,0.5869992687088648,0.976408871665911,0.17708494645431044,0.2360674413305992,0.44087546361490704,5.528499999999686
gmpe_calibrated,"[5.0, 10.0)",110,6.643208051197418,145.5,0.5170023004093507,0.40754198256542806,0.678842022897445,0.5854912908790739,0.976497313663961,0.1797957992319603,0.2374179748922371,0.4439765042808091,12.987497637987932
gmpe_calibrated,"[50.0, 75.0)",90,57.67957091090264,1313.5,0.505820035111596,0.39824115002524374,0.6844476055002371,0.5911534701857283,0.9765796401930671,0.17283549783549784,0.23361537105587873,0.4395551257253385,4.3487995530631345
gmpe_kriging,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5912423223220361,0.460677335305466,0.6216216216216216,0.6081081081081081,0.9324324324324325,0.17273954116059378,0.21862348178137653,0.4642857142857143,37.61507329720594
gmpe_kriging,"[10.0, 20.0)",160,13.90778728841283,311.0,0.3962874896014953,0.301229413128844,0.811421537889872,0.6680377849611265,0.990487514863258,0.13945252068070524,0.19574590149684462,0.3424419720954047,8.588924919325557
gmpe_kriging,"[20.0, 30.0)",85,23.315309001848767,539.0,0.38362470574977675,0.2928659158235639,0.8255275347400927,0.6806989674344718,0.992018244013683,0.1334604385128694,0.18053375196232338,0.33042096902303414,6.885194359260537
gmpe_kriging,"[30.0, 50.0)",170,39.68025828719168,884.5,0.36919948473818154,0.2785725961529936,0.8431122303633898,0.6916138380098784,0.9932449184896963,0.12921542629849542,0.17777777777777778,0.31910079239852274,5.528499999999686
gmpe_kriging,"[5.0, 10.0)",110,6.643208051197418,145.5,0.4166294116329669,0.3198652781450727,0.7898941402520816,0.6539766360273922,0.9874099090356223,0.14911746804625683,0.18956505391753498,0.35946305305789755,12.987497637987932
gmpe_kriging,"[50.0, 75.0)",90,57.67957091090264,1313.5,0.3542787482230617,0.26988884813420444,0.8533333333333334,0.7034006539064097,0.9929161648601632,0.12240143369175627,0.17129282320580147,0.3049645390070922,4.3487995530631345
gmpe_raw,"[0.0, 5.0)",660,0.0,0.0,0.7283561323562148,0.6095377585600373,0.44985026584537036,0.4552426083744156,0.9424778761061947,0.4774193548387097,0.061502091289325336,0.6012908432919368,
idw,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5611927044265553,0.44949578666898055,0.6216216216216216,0.6081081081081081,0.9384615384615385,0.17567567567567569,0.20270270270270271,0.4642857142857143,37.61507329720594
idw,"[10.0, 20.0)",160,13.90778728841283,311.0,0.3867798569677642,0.2956456665544613,0.8177283421753359,0.6759008969303787,0.9911361574778403,0.13490725126475547,0.18818487805268508,0.3331351565596512,8.588924919325557
idw,"[20.0, 30.0)",85,23.315309001848767,539.0,0.3729988155464501,0.2857813524103236,0.8357348703170029,0.6903073286052009,0.9924731182795699,0.13238770685579196,0.17526881720430107,0.3203050524308866,6.885194359260537
idw,"[30.0, 50.0)",170,39.68025828719168,884.5,0.36434904293909454,0.2738245825371805,0.8487883525503224,0.6951002061009615,0.9941860465116279,0.1274579460788079,0.17225448570917312,0.3113997113997114,5.528499999999686
idw,"[5.0, 10.0)",110,6.643208051197418,145.5,0.4109068635156846,0.31613253863345725,0.7955626885707829,0.6564153863159058,0.9882123308604929,0.15048183839881393,0.18970443282906352,0.35507803718606423,12.987497637987932
idw,"[50.0, 75.0)",90,57.67957091090264,1313.5,0.34967624372619854,0.26642583303201317,0.856,0.7028627525492431,0.9939964157706094,0.12248295226634576,0.17419354838709677,0.3089937106918239,4.3487995530631345
kriging,"[0.0, 5.0)",45,2.461718804236042,62.0,0.5876690866745099,0.4602479689735171,0.6216216216216216,0.601889338731444,0.9361702127659575,0.1702127659574468,0.21428571428571427,0.4864864864864865,37.61507329720594
kriging,"[10.0, 20.0)",160,13.90778728841283,311.0,0.3956862163332676,0.3008903212355753,0.8129340704870911,0.6686647640880489,0.9906874039938556,0.139281941658875,0.1943176599919291,0.34215500945179583,8.588924919325557
kriging,"[20.0, 30.0)",85,23.315309001848767,539.0,0.3822253532676517,0.2914632518980973,0.8257904525728457,0.6829971181556196,0.9919028340080972,0.13423351866560762,0.17896389324960754,0.32653061224489793,6.885194359260537
