period,mag_bin,n_events,mean_magnitude,mean_depth_km,mean_event_mean_intensity,sd_event_mean_intensity,q25_event_mean_intensity,q75_event_mean_intensity,mean_event_mean_measured_intensity,n_events_with_measured_intensity,mean_event_mean_best_station_intensity,sd_event_mean_best_station_intensity,mean_event_max_intensity,sd_event_max_intensity,mean_event_max_best_station_intensity,sd_event_max_best_station_intensity,mean_valid_station_records,mean_nearest_station_distance_km,median_nearest_station_distance_km,q25_nearest_station_distance_km,q75_nearest_station_distance_km,share_nearest_station_within_10km,share_nearest_station_within_20km,share_nearest_station_within_50km,mean_max_intensity_station_distance_km,median_max_intensity_station_distance_km,mean_active_station_count_within_10km,median_active_station_count_within_10km,mean_detected_station_count_within_10km,median_detected_station_count_within_10km,mean_detected_to_active_station_ratio_within_10km,mean_active_station_count_within_20km,median_active_station_count_within_20km,mean_detected_station_count_within_20km,median_detected_station_count_within_20km,mean_detected_to_active_station_ratio_within_20km,mean_active_station_count_within_50km,median_active_station_count_within_50km,mean_detected_station_count_within_50km,median_detected_station_count_within_50km,mean_detected_to_active_station_ratio_within_50km,mean_active_station_count_within_100km,median_active_station_count_within_100km,mean_detected_station_count_within_100km,median_detected_station_count_within_100km,mean_detected_to_active_station_ratio_within_100km
1980-1995,3.0<=M<4.0,1488,3.4172,5.30425,1.43456,0.610119,1,2,,0,1.43456,0.610119,1.5625,0.726197,1.5625,0.726197,1.63441,60.2084,58.4068,27.6669,90.0946,0.101478,0.15457,0.400538,62.1107,60.2193,0.44422,0,0.160618,0,0.284257,1.19556,1,0.311156,0,0.195719,5.12634,4,0.665995,0,0.115721,17.2245,17,1.29839,1,0.0937829
1980-1995,4.0<=M<5.0,762,4.33333,6.09822,1.48078,0.50383,1,1.71429,,0,1.48078,0.50383,2.08005,0.89686,2.08005,0.89686,4.5643,52.7669,49.5688,23.4679,77.8038,0.0997375,0.208661,0.507874,67.2649,62.1247,0.350394,0,0.110236,0,0.309722,1.07087,1,0.246719,0,0.260259,4.72178,5,0.92126,1,0.215369,16.7782,17,2.72178,2,0.204795
1980-1995,5.0<=M<6.0,118,5.2839,6.46847,1.76849,0.391622,1.50735,1.98913,,0,1.76849,0.391622,3.22034,0.807397,3.22034,0.807397,15.6864,35.2859,24.6828,14.4282,45.6852,0.118644,0.338983,0.872881,66.3712,52.5639,0.271186,0,0.118644,0,0.446429,0.949153,1,0.423729,0,0.469178,4.66102,4.5,1.94915,2,0.485031,16.3644,16,5.80508,6,0.427071
1980-1995,6.0<=M<7.0,11,6.29091,10.4991,2.09195,0.261495,1.86071,2.32624,,0,2.09195,0.261495,4.09091,0.700649,4.09091,0.700649,37.5455,40.3156,45.4644,24.1462,56.7609,0,0.272727,0.636364,114.549,95.6986,0.363636,0,0,0,0,0.909091,0,0.272727,0,0.466667,3.72727,3,1.27273,1,0.456597,11.6364,12,5.45455,6,0.538459
1996-2003,3.0<=M<4.0,1758,3.32133,9.6688,1.38372,0.467773,1,1.5,1.24704,1582,1.25972,0.484897,1.94141,0.790872,1.88987,0.759759,7.54835,9.26114,7.15389,3.86043,11.8972,0.671217,0.906143,0.997156,11.3767,8.81792,2.3322,2,1.62457,1,0.684325,7.67634,6,4.02048,3,0.537084,39.7958,39,6.82821,4,0.192379,138.313,150,7.44994,4,0.0636862
1996-2003,4.0<=M<5.0,273,4.30037,10.2689,1.44425,0.34747,1.25,1.54545,1.30374,247,1.32116,0.355697,3.06593,0.880368,3.01685,0.846017,55.7802,10.5897,7.99949,4.27993,14.2965,0.630037,0.857143,0.996337,15.493,11.3306,2.05495,1,1.64103,1,0.777096,6.74725,5,5.27839,3,0.7506,37.6484,37,22.2857,15,0.564485,139.74,148,42.2051,25,0.296173
1996-2003,5.0<=M<6.0,32,5.31875,9.98594,1.62341,0.263099,1.41419,1.82424,1.52576,26,1.53948,0.31909,4.35938,0.917872,4.31875,0.912436,200.5,16.342,8.95348,4.24261,15.5708,0.53125,0.8125,0.96875,19.4826,11.8313,1.8125,1,1.46875,1,0.788847,6.375,4,5.28125,2,0.741178,34.3125,20.5,27.125,12,0.715763,118.188,85.5,82.9062,33.5,0.637496
1996-2003,6.0<=M<7.0,7,6.41429,8.24857,1.92969,0.459811,1.81145,2.25051,1.83313,6,1.82178,0.616339,5.07143,1.85806,4.81429,1.94887,176.714,76.6285,12.8556,8.0701,25.3171,0.285714,0.571429,0.857143,78.1234,12.8556,0.857143,0,0.714286,0,0.666667,4.71429,5,3.71429,3,0.56,18.4286,14,12.7143,8,0.584898,58.5714,38,41.7143,26,0.696047
1996-2003,7.0<=M,2,7.35,4.98,1.86195,1.21898,1.43098,2.29293,1.67439,2,1.67439,1.378,3.75,3.88909,3.55,3.88909,662,199.328,199.328,103.03,295.627,0.5,0.5,0.5,219.143,219.143,0.5,0.5,0.5,0.5,1,4.5,4.5,4,4,0.888889,28,28,27.5,27.5,0.982143,95,95,93,93,0.978947
2004-2010,3.0<=M<4.0,1708,3.29936,9.37819,1.21073,0.251725,1,1.33333,1.05488,1708,1.05488,0.294025,1.78513,0.727783,1.72506,0.687288,9.84368,8.40214,7.32937,4.15402,11.5044,0.669789,0.960773,1,11.339,10.2951,2.9678,3,1.70375,1,0.550084,11.7143,12,5.03806,4,0.444054,68.2968,67,8.96077,6,0.134146,243.492,232,9.78806,6,0.0414074
