event_id,origin_time,year,region_name,japanese_region_name,latitude,longitude,depth_km,magnitude,current_station_count,current_max_intensity,current_max_class_index,current_max_class,current_max_station_code,current_max_station_name,current_max_station_epicentral_distance_km,counterfactual_year_end,counterfactual_active_station_count,counterfactual_matched_station_count,counterfactual_matched_fraction,counterfactual_max_intensity,counterfactual_max_class_index,counterfactual_max_class,max_intensity_drop,max_class_drop,match_radius_km,current_nearest_epicentral_distance_km,current_median_epicentral_distance_km,counterfactual_nearest_epicentral_distance_km,counterfactual_median_epicentral_distance_km,counterfactual_match_distance_median_km,counterfactual_match_distance_max_km,analysis_status,counterfactual_max_station_code,counterfactual_max_station_name,counterfactual_max_station_epicentral_distance_km,counterfactual_max_source_station_code,counterfactual_max_source_station_name,counterfactual_max_source_match_distance_km,current_station_count_within_20km,counterfactual_matched_count_within_20km,current_station_count_within_50km,counterfactual_matched_count_within_50km,current_station_count_within_100km,counterfactual_matched_count_within_100km,current_density_national_per_10000km2,counterfactual_active_density_national_per_10000km2,counterfactual_matched_density_national_per_10000km2
i2016_003518,2016-04-29 15:09:34.33,2016,NORTHERN OITA PREF,大分県中部,33.25783333333333,131.368,7.44,4.5,18,5.0,6,5+,7511134,由布市湯布院町川上（旧２）＊,1.9405424166997811,1994,450,1,0.0022222222222222222,1.2,1,1,3.8,5,10.0,1.9405424166997811,19.52109420366117,23.284818309375886,23.284818309375886,0.0,0.0,ok,7510000,大分市長浜（旧）,23.284818309375886,7510001,大分市長浜,0.0,10,0,18,1,18,1,0.4762216447711419,11.905541119278547,0.026456758042841217
i2011_001085,2011-03-12 05:42:19.80,2011,MID NIIGATA PREF,長野県北部,36.973166666666664,138.5905,3.79,5.3,100,5.9,7,6-,4203130,栄村北信＊,1.2974084844071103,1994,450,23,0.051111111111111114,2.3,2,2,3.6000000000000005,5,10.0,1.2974084844071103,41.953726286092504,24.970821468781722,121.65143588767747,4.813504908056969,9.459913746887006,ok,3710540,十日町市水口沢＊,24.970821468781722,3710540,十日町市水口沢＊,0.0,6,0,61,6,84,10,2.6456758042841213,11.905541119278547,0.6085054349853479
i2021_002244,2021-12-09 11:05:08.01,2021,NEAR TOKARA ISLANDS,トカラ列島近海,29.342833333333335,129.4505,14.0,6.1,22,5.3,6,5+,7740040,鹿児島十島村悪石島＊,18.755422757062473,1994,450,6,0.013333333333333334,2.2,2,2,3.0999999999999996,4,10.0,18.054188228401166,105.40463822129237,69.27769491280192,115.74600279478364,0.0,6.093034641454921,ok,7780800,喜界町滝川,124.69149176484798,7780800,喜界町滝川,0.0,2,0,5,0,8,1,0.5820486769425067,11.905541119278547,0.1587405482570473
i2022_001276,2022-08-11 00:53:00.16,2022,SOYA REGION,上川地方北部,44.848333333333336,142.11233333333334,4.7,5.4,45,5.1,6,5+,1250920,上川中川町中川＊,5.036531386093359,1994,450,11,0.024444444444444446,2.2,2,2,2.8999999999999995,4,10.0,5.036531386093359,62.72177860933946,38.28855022540006,71.30958892721223,0.0,1.8428333333340134,ok,1350000,稚内市開運（旧）,71.59740894351387,1350002,稚内市開運,0.0,3,0,17,2,40,10,1.1905541119278547,11.905541119278547,0.29102433847125336
i2018_000704,2018-05-25 21:13:42.23,2018,MID NIIGATA PREF,長野県北部,36.94083333333333,138.58966666666666,5.58,5.2,182,5.3,6,5+,4203130,栄村北信＊,4.759174276034166,1994,450,34,0.07555555555555556,2.7,3,3,2.5999999999999996,3,10.0,4.759174276034166,63.01558755163482,28.16259388804031,96.71850167716943,2.1041031738601177,9.461492057541712,ok,3710540,十日町市水口沢＊,28.16259388804031,3710540,十日町市水口沢＊,0.0,7,0,66,5,130,17,4.8151299637971015,11.905541119278547,0.8995297734566015
i2011_009110,2011-09-07 22:29:43.08,2011,HIDAKA REGION,日高地方中部,42.260666666666665,142.58916666666667,10.23,5.1,39,5.2,6,5+,1510321,新ひだか町三石旭町＊,2.1990688173941093,1994,450,9,0.02,2.9,3,3,2.3000000000000003,3,10.0,2.1990688173941093,84.70321445597422,19.103833783987916,89.21677207828239,4.596298844459489,9.921730235106557,ok,1520000,浦河町潮見（旧）,19.103833783987916,1520002,浦河町潮見,0.0,5,1,9,1,27,6,1.0318135636708075,11.905541119278547,0.23811082238557096
i2011_003554,2011-03-23 18:55:20.25,2011,EASTERN FUKUSHIMA PREF,福島県浜通り,37.111,140.76066666666668,8.96,4.7,159,5.1,6,5+,2510001,いわき市三和町,3.696356829010114,1994,450,42,0.09333333333333334,2.8,3,3,2.3,3,10.0,3.696356829010114,77.84100778495973,12.822675357071018,80.93454546397277,0.7397845801355771,9.066671445216052,ok,2510031,いわき市平梅本（旧２）＊,12.822675357071018,2510020,いわき市平四ツ波＊,5.72306186844404,3,1,41,11,106,31,4.206624528811753,11.905541119278547,1.111183837799331
i2011_007193,2011-06-02 11:33:48.07,2011,MID NIIGATA PREF,新潟県中越地方,37.0175,138.705,5.68,4.7,84,5.0,6,5+,3710537,十日町市上山＊,3.640991694741421,1994,450,12,0.02666666666666667,2.8,3,3,2.2,3,10.0,3.640991694741421,44.71370152806636,16.775899543201334,49.97533932085106,0.7406969888679242,7.40696988868681,ok,3710540,十日町市水口沢＊,16.775899543201334,3710540,十日町市水口沢＊,0.0,12,1,49,6,75,10,2.222367675598662,11.905541119278547,0.3174810965140946
i2011_009588,2011-10-05 23:33:27.59,2011,NW KUMAMOTO PREF,熊本県熊本地方,32.914,130.85033333333334,9.69,4.5,183,5.1,6,5+,7410536,菊池市旭志（旧２）＊,4.003143768660875,1994,450,20,0.044444444444444446,2.9,3,3,2.1999999999999997,3,10.0,3.735423522291967,50.46154901781298,17.72801270775798,61.334061614367705,1.7001808821254514,8.727520176381347,ok,7410101,八代市泉町（旧）,40.59733080190718,7414720,熊本美里町永富＊,8.727520176381347,20,1,90,8,170,17,4.841586721839943,11.905541119278547,0.5291351608568243
i2011_001008,2011-03-12 04:31:55.60,2011,MID NIIGATA PREF,長野県北部,36.94883333333333,138.5725,0.78,5.9,627,5.5,7,6-,4203130,栄村北信＊,3.9551261189649765,1994,450,102,0.22666666666666666,3.4,3,3,2.1,4,10.0,3.9551261189649765,121.13527164523866,28.113872342175537,138.46910992369192,0.0,9.629635947090627,ok,3710540,十日町市水口沢＊,28.113872342175537,3710540,十日町市水口沢＊,0.0,6,0,69,5,227,26,16.58838729286144,11.905541119278547,2.698589320369804
i2022_000463,2022-03-18 23:25:16.39,2022,E OFF IWATE PREF,岩手県沖,39.99033333333333,142.00483333333332,18.06,5.6,281,5.2,6,5+,2101230,野田村野田＊,21.303368076328315,1994,450,38,0.08444444444444445,3.1,3,3,2.1,3,10.0,10.405812009290125,144.6430656023354,13.373031036560532,136.7071621742832,0.0,8.006153264881517,ok,2100600,田野畑村田野畑,13.373031036560532,2100600,田野畑村田野畑,0.0,3,1,18,2,72,10,7.434349010038381,11.905541119278547,1.005356805627966
i2016_002773,2016-04-19 17:52:13.69,2016,SOUTHERN KUMAMOTO PREF,熊本県熊本地方,32.53516666666667,130.63533333333334,9.96,5.5,440,5.2,6,5+,7410120,八代市松江城町＊,5.125088512467785,1994,450,49,0.10888888888888888,3.1,3,3,2.1,3,10.0,0.276966833421954,85.20740987771123,17.077397569027525,91.24142607875339,0.0,9.668614427545767,ok,7420000,人吉市城本町,37.01653749526536,7420001,人吉市西間下町,2.417153606886875,19,1,100,8,308,30,11.640973538850135,11.905541119278547,1.2963811440992195
i2019_000257,2019-02-21 21:22:40.49,2019,ISHIKARI DEPRESSION,胆振地方中東部,42.76616666666666,142.00333333333333,33.3,5.8,283,5.9,7,6-,1460600,厚真町鹿沼,18.06983694509971,1994,450,45,0.1,3.9,4,4,2.0000000000000004,3,10.0,10.612229228811973,119.38877197683087,21.314676021039936,119.44388322341902,0.0,9.866688747368352,ok,1460100,苫小牧市しらかば,40.60933358701876,1460120,苫小牧市旭町＊,4.482504137341894,5,0,27,5,107,15,7.487262526124064,11.905541119278547,1.1905541119278547
i2011_007957,2011-07-05 19:18:43.44,2011,CENTRAL WAKAYAMA PREF,和歌山県北部,33.9905,135.23416666666665,7.33,5.5,680,5.2,6,5+,5502030,和歌山広川町広（旧）＊,7.835380820250139,1994,450,79,0.17555555555555555,3.4,3,3,1.8000000000000003,3,10.0,5.2513348132715505,118.10229834742569,18.9290937544819,146.00610728328832,0.0,9.714241887397959,ok,5503400,みなべ町土井,18.9290937544819,5503400,みなべ町土井,0.0,18,1,54,5,276,22,17.99059546913203,11.905541119278547,2.0900838853844563
i2011_010143,2011-11-20 10:23:40.78,2011,NORTHERN IBARAKI PREF,茨城県北部,36.71066666666667,140.58816666666667,8.99,5.3,562,5.2,6,5+,3000131,日立市十王町友部（旧）＊,9.012708086007736,1994,450,59,0.13111111111111112,3.4,3,3,1.8000000000000003,3,10.0,9.012708086007736,111.71465337270774,10.62680357894527,111.85709809351773,0.0,9.214166666666141,ok,3000200,常陸太田市町屋町,10.62680357894527,3000200,常陸太田市町屋町,0.0,9,1,54,5,219,21,14.868698020076762,11.905541119278547,1.560948724527632
i2017_001439,2017-09-08 22:23:18.14,2017,SOUTHERN AKITA PREF,秋田県内陸南部,39.50116666666667,140.41933333333333,9.42,5.2,205,5.1,6,5+,2333031,大仙市神宮寺（旧）＊,1.2081867841502303,1994,450,37,0.08222222222222222,3.3,3,3,1.7999999999999998,3,10.0,1.2081867841502303,84.31581288319713,21.54447954209692,100.21920543898072,1.8428333333332318,9.21416666666693,ok,2332900,秋田美郷町六郷東根,21.54447954209692,2332900,秋田美郷町六郷東根,0.0,15,0,52,5,118,18,5.423635398782449,11.905541119278547,0.9789000475851249
i2017_000895,2017-06-20 23:27:41.45,2017,HYUGANADA REGION,豊後水道,32.86816666666667,132.03066666666666,41.72,5.0,280,5.0,6,5+,7520035,佐伯市鶴見（旧）＊,10.885551571651641,1994,450,39,0.08666666666666667,3.3,3,3,1.7000000000000002,3,10.0,6.972514377534342,108.36533004206458,34.24555489912572,124.44487445137679,3.620726313694787,9.653551288933096,ok,7611070,高千穂通報所,70.34565870116417,7611000,高千穂町三田井,0.0,7,0,30,2,127,15,7.40789225199554,11.905541119278547,1.0318135636708075
i2016_006541,2016-12-28 21:38:49.04,2016,NORTHERN IBARAKI PREF,茨城県北部,36.720166666666664,140.57416666666666,10.84,6.3,1194,5.5,7,6-,3000331,高萩市下手綱＊,11.309740539207526,1994,450,129,0.2866666666666667,3.8,4,4,1.7000000000000002,3,10.0,8.22661722297979,146.5729427478496,11.528114572985167,172.32481908313008,0.0,9.65424785743458,ok,3000200,常陸太田市町屋町,11.528114572985167,3000200,常陸太田市町屋町,0.0,10,1,62,5,234,22,31.589369103152414,11.905541119278547,3.4129217875265168
i2019_000014,2019-01-03 18:10:27.64,2019,NORTHERN ARIAKEKAI REG,熊本県熊本地方,33.02733333333333,130.55433333333335,10.44,5.1,452,5.5,7,6-,7415232,和水町江田＊,6.4862655433980665,1994,450,49,0.10888888888888888,4.0,4,4,1.5,3,10.0,4.791677035134814,69.03602328226472,7.024371002803753,104.13599245869128,1.8428333333332247,9.646315012659612,ok,7410300,玉名市築地,7.024371002803753,7410300,玉名市築地,0.0,26,1,139,8,352,23,11.958454635364228,11.905541119278547,1.2963811440992195
i2011_003486,2011-03-23 07:34:56.09,2011,EASTERN FUKUSHIMA PREF,福島県浜通り,37.098166666666664,140.79583333333332,6.69,5.5,821,5.2,6,5+,2510001,いわき市三和町,0.4220359097558454,1994,450,92,0.20444444444444446,3.7,4,4,1.5,2,10.0,0.4220359097558454,160.28612844744296,9.431156344382217,136.95556596239874,0.0,9.453804744317793,ok,2510031,いわき市平梅本（旧２）＊,9.431156344382217,2510020,いわき市平四ツ波＊,5.723126686047103,3,2,40,8,145,32,21.72099835317264,11.905541119278547,2.4340217399413917
