year,region,active_station_count,area_km2,density_per_10000km2,mean_nearest_neighbor_distance_km,median_nearest_neighbor_distance_km,q25_nearest_neighbor_distance_km,q75_nearest_neighbor_distance_km,q90_nearest_neighbor_distance_km
1980,Japan,302,383718,7.87036,73.8788,24.5329,15.2961,37.0207,46.6233
1980,Hokkaido,34,83424,4.07557,39.3227,40.225,26.7163,44.818,48.7765
1980,Tohoku,60,66948,8.96218,22.3233,16.6645,11.2174,29.9949,44.6899
1980,Kanto,33,32423,10.178,42.4713,21.4191,15.2731,30.377,42.7982
1980,Chubu,65,72572,8.95662,23.1311,24.2287,12.9728,29.9291,40.5105
1980,Kinki,21,33112,6.34211,685.451,21.3995,19.0378,29.0113,46.5137
1980,Chugoku,22,31922,6.8918,26.7547,20.0506,15.8196,38.9124,50.3857
1980,Shikoku,16,18804,8.50883,33.0241,31.657,26.6225,34.8227,44.4056
1980,Kyushu,42,42231,9.9453,28.8978,23.9252,13.2821,34.3004,48.8002
1980,Okinawa,9,2282,39.4391,76.8287,52.6748,42.5716,74.8211,138.82
1995,Japan,478,383718,12.4571,47.0852,16.9962,9.28006,25.1898,36.6163
1995,Hokkaido,62,83424,7.43191,26.9304,25.2638,21.5252,34.3702,42.3087
1995,Tohoku,82,66948,12.2483,16.5248,13.0181,10.3083,22.9343,32.6432
1995,Kanto,48,32423,14.8043,22.3995,16.5945,5.55975,23.2975,32.6468
1995,Chubu,91,72572,12.5393,17.1296,14.9748,8.4921,24.1064,33.2378
1995,Kinki,55,33112,16.6103,263.929,10.3616,4.93786,18.5325,22.4603
1995,Chugoku,32,31922,10.0244,20.4985,18.7821,8.63799,27.9192,39.1475
1995,Shikoku,23,18804,12.2314,23.2998,23.0735,11.9463,28.8911,37.0274
1995,Kyushu,67,42231,15.8651,22.7517,19.5858,10.46,27.2453,43.3394
1995,Okinawa,18,2282,78.8782,14.9136,5.53529,2.49345,30.3419,39.8237
1996,Japan,754,383718,19.6498,32.5072,14.1224,7.57909,19.1772,24.7426
1996,Hokkaido,86,83424,10.3088,20.0833,19.897,12.3962,27.7665,35.7685
1996,Tohoku,129,66948,19.2687,13.4709,12.5245,7.62495,19.3511,23.2201
1996,Kanto,90,32423,27.7581,15.6021,13.5194,7.45094,17.8616,22.1428
1996,Chubu,151,72572,20.8069,13.3994,13.3029,7.89997,17.9965,22.239
1996,Kinki,84,33112,25.3684,175.593,9.73808,4.83661,16.9589,19.9627
1996,Chugoku,52,31922,16.2897,17.2598,16.6589,10.6698,20.8908,28.2637
1996,Shikoku,39,18804,20.7403,15.3495,14.9675,10.7492,21.3846,24.1172
1996,Kyushu,104,42231,24.6265,17.2443,16.4356,9.26626,19.6688,30.7952
1996,Okinawa,19,2282,83.2603,14.9409,6.99765,2.49345,27.4711,37.8197
2003,Japan,3588,383718,93.5062,8.97568,4.60673,2.40252,6.53311,9.40821
2003,Hokkaido,154,83424,18.4599,12.1412,9.36499,6.16884,16.376,24.1957
2003,Tohoku,468,66948,69.905,5.46768,5.55975,2.7019,7.41301,10.2232
2003,Kanto,606,32423,186.904,4.36254,3.54358,2.38369,4.87047,7.13909
2003,Chubu,821,72572,113.129,4.65598,4.47789,2.39281,6.24603,8.00575
2003,Kinki,362,33112,109.326,42.8808,3.7065,2.40068,6.03222,9.04795
2003,Chugoku,373,31922,116.847,5.65764,5.55975,3.57676,7.56698,9.39118
2003,Shikoku,210,18804,111.678,5.41946,4.59427,3.06133,7.25464,9.94257
2003,Kyushu,532,42231,125.974,5.31191,4.83294,2.92066,7.23782,9.61387
2003,Okinawa,62,2282,271.691,5.44155,2.49188,1.72977,7.59576,12.3952
2010,Japan,4378,383718,114.094,7.65724,3.7065,1.85325,6.08195,9.19385
2010,Hokkaido,329,83424,39.4371,8.45573,7.54051,2.66998,13.0191,17.67
2010,Tohoku,567,66948,84.6926,4.60905,4.33394,1.46699,6.83834,9.37677
2010,Kanto,699,32423,215.588,3.90094,3.00936,1.85325,4.75377,6.25019
2010,Chubu,943,72572,129.94,4.06171,3.56893,1.85325,5.76436,7.56614
2010,Kinki,419,33112,126.54,36.9693,3.55684,2.12066,5.76133,7.56984
2010,Chugoku,416,31922,130.318,4.79503,4.79228,2.40063,6.3423,8.71667
2010,Shikoku,261,18804,138.8,4.80891,3.7065,2.40682,6.46537,9.55116
2010,Kyushu,668,42231,158.178,4.59445,4.0168,2.41233,6.15969,8.37493
2010,Okinawa,76,2282,333.041,4.96521,3.7065,1.85325,7.04656,11.9721
2022,Japan,4523,383718,117.873,7.49675,3.7065,1.85325,5.95222,9.06639
2022,Hokkaido,348,83424,41.7146,7.9735,6.90975,2.2954,12.2412,16.9298
2022,Tohoku,575,66948,85.8876,4.74656,4.34203,1.85325,6.89121,9.37691
2022,Kanto,730,32423,225.149,3.7799,2.99164,1.85325,4.50908,5.98327
2022,Chubu,968,72572,133.385,4.08027,3.63981,1.85325,5.76357,7.5643
2022,Kinki,461,33112,139.224,33.8443,3.05463,1.85325,4.90787,7.5692
2022,Chugoku,412,31922,129.065,4.81411,4.78876,2.40277,6.35536,8.71556
2022,Shikoku,263,18804,139.864,4.79894,3.7065,2.40653,6.43455,9.51895
2022,Kyushu,680,42231,161.019,4.50848,4.0168,2.412,6.00679,8.37251
2022,Okinawa,86,2282,376.862,4.45931,3.5161,1.85325,6.09981,8.14366
