method,density_bin,n_events,n_predictions,median_density_per_10000km2,median_train_nn_km,event_equal_mae,event_equal_rmse,event_equal_exact_class_accuracy,event_equal_exact_class_accuracy_ci95_low,event_equal_exact_class_accuracy_ci95_high,event_equal_underprediction_rate
gmpe_kriging,"[0.0, 5.0)",27,56260,2.4765781654870844,19.569771229320676,0.4071571058035491,0.5376836217717881,0.5962340969692307,0.5726112558553753,0.6175392009299648,0.21527765278086533
gmpe_kriging,"[5.0, 10.0)",58,267080,6.2969978472642225,12.361041798278922,0.3336255642841232,0.4346270486620557,0.6464253244179182,0.6340506258793343,0.6575286482498863,0.19903224134983283
gmpe_kriging,"[10.0, 20.0)",54,322805,12.989437833053236,8.229992656789312,0.31374144439750673,0.41144774080745655,0.671494728088401,0.6642019579516677,0.6793275207213326,0.18656233880216308
gmpe_kriging,"[20.0, 30.0)",37,115905,22.643000370167627,6.242214717519822,0.29734791919877657,0.3901060011416847,0.682459369865142,0.6729044953755938,0.6922442101900207,0.18144101318712696
gmpe_kriging,"[30.0, 50.0)",41,163420,34.22296701313839,5.72009451762673,0.2927860075510277,0.3851745917625299,0.6918439748965849,0.682493187046939,0.7009613865732347,0.17424476635740893
gmpe_kriging,"[50.0, 75.0)",33,32310,56.33009525308344,4.373829142097918,0.2814093814661241,0.3701494625509243,0.7043877306342227,0.6926576027524769,0.7156734521771597,0.1739673103622522
idw,"[0.0, 5.0)",27,56260,2.4765781654870844,19.569771229320676,0.40226013586426534,0.5302750131198095,0.5990953015181454,0.5741870426698078,0.6213257079965141,0.21549320638901576
idw,"[5.0, 10.0)",58,267080,6.2969978472642225,12.361041798278922,0.3268759560286089,0.42405300431408877,0.6507867140793105,0.6397003478016231,0.6619555496027486,0.19465669682555178
idw,"[10.0, 20.0)",54,322805,12.989437833053236,8.229992656789312,0.30593345244304293,0.399548749363974,0.6782596411698717,0.6702006023439808,0.6863268718921173,0.1807729986052175
idw,"[20.0, 30.0)",37,115905,22.643000370167627,6.242214717519822,0.2905175336654883,0.3794917443406175,0.6867191189519479,0.6761601667404886,0.696464231392143,0.17794075710073498
idw,"[30.0, 50.0)",41,163420,34.22296701313839,5.72009451762673,0.2862202712519672,0.3758236337816553,0.6975935310863116,0.6881811543201639,0.7066645208382758,0.17008650263050853
idw,"[50.0, 75.0)",33,32310,56.33009525308344,4.373829142097918,0.2759034397480765,0.36165978549424443,0.7107718178558802,0.6992449640698262,0.7216344185676896,0.16953238012960703
kriging,"[0.0, 5.0)",27,56260,2.4765781654870844,19.569771229320676,0.40305138531757756,0.5312373732320301,0.5997518685391341,0.576638409500616,0.6211160331332659,0.21499814868281442
kriging,"[5.0, 10.0)",58,267080,6.2969978472642225,12.361041798278922,0.33225817021286697,0.4316898237231634,0.6461496325971612,0.6344022013165088,0.6569541548059936,0.19946975809440287
kriging,"[10.0, 20.0)",54,322805,12.989437833053236,8.229992656789312,0.31307681255156483,0.41025581345057144,0.6710467736205489,0.6632934458683329,0.6786660583608577,0.1866167695492854
kriging,"[20.0, 30.0)",37,115905,22.643000370167627,6.242214717519822,0.29681895664817814,0.38873289231775043,0.6825764718804639,0.6726410424419154,0.6923005326583409,0.18103995492699584
kriging,"[30.0, 50.0)",41,163420,34.22296701313839,5.72009451762673,0.2925147900725156,0.38488886176710224,0.6917592107394459,0.6824868817327935,0.7010069454168938,0.17391498565889488
kriging,"[50.0, 75.0)",33,32310,56.33009525308344,4.373829142097918,0.28131692718730883,0.36991076700939246,0.7040270894207635,0.6927273295741473,0.7151086154677561,0.17354912091834307
