year,mag_bin,n_events,mean_magnitude,mean_depth_km,mean_event_mean_intensity,sd_event_mean_intensity,q25_event_mean_intensity,q75_event_mean_intensity,mean_event_mean_measured_intensity,n_events_with_measured_intensity,mean_event_mean_best_station_intensity,sd_event_mean_best_station_intensity,mean_event_max_intensity,sd_event_max_intensity,mean_event_max_best_station_intensity,sd_event_max_best_station_intensity,mean_valid_station_records,mean_nearest_station_distance_km,median_nearest_station_distance_km,q25_nearest_station_distance_km,q75_nearest_station_distance_km,share_nearest_station_within_10km,share_nearest_station_within_20km,share_nearest_station_within_50km,mean_max_intensity_station_distance_km,median_max_intensity_station_distance_km,mean_active_station_count_within_10km,median_active_station_count_within_10km,mean_detected_station_count_within_10km,median_detected_station_count_within_10km,mean_detected_to_active_station_ratio_within_10km,mean_active_station_count_within_20km,median_active_station_count_within_20km,mean_detected_station_count_within_20km,median_detected_station_count_within_20km,mean_detected_to_active_station_ratio_within_20km,mean_active_station_count_within_50km,median_active_station_count_within_50km,mean_detected_station_count_within_50km,median_detected_station_count_within_50km,mean_detected_to_active_station_ratio_within_50km,mean_active_station_count_within_100km,median_active_station_count_within_100km,mean_detected_station_count_within_100km,median_detected_station_count_within_100km,mean_detected_to_active_station_ratio_within_100km
1980,3.0<=M<4.0,38,3.4,7.89474,1.55263,0.742435,1,2,,0,1.55263,0.742435,1.60526,0.754786,1.60526,0.754786,1.31579,61.2489,59.7922,29.9784,84.4678,0.0263158,0.0526316,0.368421,61.2489,59.7922,0.0526316,0,0.0263158,0,0.5,0.552632,0,0.0526316,0,0.111111,4.13158,4,0.394737,0,0.10251,15.5789,16,1.02632,1,0.0770504
1980,4.0<=M<5.0,8,4.3375,10,1.39375,0.374583,1,1.5625,,0,1.39375,0.374583,2,0.92582,2,0.92582,4.125,47.255,57.1898,27.8754,59.7638,0,0.125,0.375,59.5471,60.1297,0,0,0,0,,0.625,0,0.125,0,0.125,3.25,4,0.625,0,0.164286,12.75,16,2.625,2,0.328259
1980,5.0<=M<6.0,1,5,0,1.63636,,1.63636,1.63636,,0,1.63636,,3,,3,,11,30.2203,30.2203,30.2203,30.2203,0,0,1,101.795,101.795,0,0,0,0,,1,1,0,0,0,8,8,1,1,0.125,21,21,4,4,0.190476
1982,3.0<=M<4.0,28,3.39286,9.64286,1.30357,0.532974,1,1.625,,0,1.30357,0.532974,1.35714,0.621485,1.35714,0.621485,1.17857,77.8009,66.7912,34.6205,110.116,0.0357143,0.0714286,0.285714,77.8009,66.7912,0.0357143,0,0.0357143,0,1,0.428571,0,0.0714286,0,0.222222,2.78571,3.5,0.357143,0,0.140152,11.5,14,0.785714,1,0.0759806
1982,4.0<=M<5.0,15,4.26,5.33333,1.48048,0.377954,1.125,1.7619,,0,1.48048,0.377954,2,0.755929,2,0.755929,3.06667,53.1471,52.9426,32.559,67.3503,0,0.133333,0.466667,74.4703,74.0482,0.133333,0,0,0,0,0.866667,1,0.133333,0,0.15625,4.2,4,0.733333,0,0.247222,16.8,16,2.06667,2,0.158524
1982,5.0<=M<6.0,1,5.2,0,1.83333,,1.83333,1.83333,,0,1.83333,,3,,3,,6,32.5536,32.5536,32.5536,32.5536,0,0,1,40.2355,40.2355,0,0,0,0,,0,0,0,0,,2,2,2,2,1,7,7,2,2,0.285714
1983,3.0<=M<4.0,37,3.35405,10.7027,1.45946,0.544905,1,2,,0,1.45946,0.544905,1.48649,0.558849,1.48649,0.558849,1.13514,61.5043,60.8296,28.6257,79.0541,0,0,0.378378,61.5043,60.8296,0.243243,0,0,0,0,0.972973,0,0,0,0,4.64865,4,0.405405,0,0.0926426,17.2162,16,0.972973,1,0.0595817
1983,4.0<=M<5.0,12,4.34167,9.33333,1.70556,0.371139,1.5,2,,0,1.70556,0.371139,2.33333,0.651339,2.33333,0.651339,3.5,69.8412,64.4323,48.1996,80.5558,0,0,0.333333,85.2769,82.4861,0.166667,0,0,0,0,0.833333,0.5,0,0,0,4.83333,4.5,0.5,0,0.155556,16.1667,16.5,2.08333,1,0.153303
1983,5.0<=M<6.0,2,5.35,10.5,1.65897,0.388002,1.52179,1.79615,,0,1.65897,0.388002,3.5,0.707107,3.5,0.707107,14,35.2118,35.2118,30.1979,40.2257,0,0,1,89.4055,89.4055,0,0,0,0,,0,0,0,0,,5,5,3,3,0.619048,18.5,18.5,8,8,0.471667
1983,6.0<=M<7.0,1,6.2,15,1.82857,,1.82857,1.82857,,0,1.82857,,4,,4,,35,45.4644,45.4644,45.4644,45.4644,0,0,1,114.645,114.645,0,0,0,0,,0,0,0,0,,3,3,2,2,0.666667,12,12,8,8,0.666667
